Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1968,2,3,3,4,4,4,3,3,4,4,4,4
1969,4,4,4,4,4,5,6,6,6,5,6,7
1970,7,8,7,7,7,6,5,5,4,5,3,2
1971,2,2,3,3,3,4,4,4,3,3,4,4
1972,4,5,4,4,3,3,4,4,5,5,5,5
1973,6,7,9,11,12,13,13,18,17,17,18,19
1974,18,19,17,15,15,14,13,9,11,12,12,12
1975,11,9,8,8,8,9,11,9,8,8,7,6
1976,6,5,4,5,5,4,2,3,2,2,1,1
1977,2,4,5,6,6,7,6,7,7,7,8,8
1978,8,7,8,9,10,10,10,10,11,11,11,12
1979,12,13,13,12,11,10,10,10,10,10,10,10
1980,9,7,7,7,7,7,8,9,10,10,10,10
1981,10,10,10,9,9,9,8,7,7,6,5,4
1982,5,5,4,4,5,5,4,4,4,4,3,3
1983,3,2,3,3,3,2,1,2,2,2,2,3
1984,4,5,4,3,3,3,4,4,4,4,4,4
1985,3,2,3,2,3,2,2,2,2,2,3,3
1986,3,2,2,2,3,3,4,4,4,4,4,4
1987,4,5,5,5,5,5,4,4,4,4,3,4
1988,3,3,3,4,3,3,5,5,5,5,5,5
1989,5,6,6,6,7,6,6,5,5,5,5,6
1990,7,7,6,6,5,5,6,6,6,6,6,5
1991,5,4,4,5,5,5,4,3,3,2,2,3
1992,2,2,2,1,1,0,1,2,2,2,2,2
1993,2,2,2,2,3,2,2,2,2,2,3,3
1994,3,2,2,2,2,2,3,3,3,2,2,3
1995,3,3,3,3,3,3,3,3,3,3,3,2
1996,2,2,3,3,3,3,3,4,4,4,4,4
1997,4,4,3,3,3,3,3,3,2,2,2,2
1998,2,2,2,2,2,2,2,2,2,2,2,2
1999,2,3,2,2,2,2,2,2,2,2,2,2
2000,2,2,2,2,2,2,3,3,3,3,2,3
2001,3,3,3,3,3,3,3,3,3,3,3,3
2002,3,3,3,3,2,2,2,1,1,1,1,2
2003,1,1,2,1,2,2,2,2,3,3,3,4
2004,4,3,3,3,4,4,4,4,3,3,3,3
2005,3,3,3,3,3,2,2,2,3,2,2,2
2006,3,3,3,2,2,2,2,3,3,3,2,2
2007,2,3,3,4,4,4,4,4,4,4,5,5
2008,5,5,4,5,5,5,6,6,6,6,6,6
2009,5,5,4,3,3,2,1,1,0,0,-1,0
2010,0,0,0,1,1,1,1,1,1,1,2,2
2011,2,2,3,3,3,4,4,4,5,5,4,5
2012,4,4,3,3,3,3,2,2,2,2,2,2
2013,2,2,2,2,1,1,2,1,1,1,1,1
2014,1,1,2,2,2,2,2,3,3,3,3,3
2015,3,3,2,2,2,2,2,2,2,2,1,1
2016,1,1,1,1,1,0,0,0,0,0,0,0
2017,0,0,1,1,1,1,1,1,1,1,1,2
2018,2,1,1,1,1,1,1,1,1,1,1,2
2019,2,2,2,2,2,2,2,2,2,2,2,2
2020,2,2,2,4,4,5,4,4,4,4,4,4
2021,4,4,4,2,2,2,3,4,5,5,6,6
2022,7,8,9,9,10,10,11,11,11,11,11,10
2023,10,10,9,8,7,6,5,4,4,3,3,3
2024,3,,,,,,,,,,,
